IMAGE_ID,LAST_UPDATED,DEF_HEX,SHADOW,NEEDS_UPDATE
170038,2021-12-05 13:42:44,367ed1,1,false
142275,2021-10-21 10:12:08,ffffff,1,false
1100135,2023-01-22 21:25:10,ffffff,1,false
190653,2021-12-04 16:01:57,0d3bbd,1,false
190128,2022-02-24 10:56:03,000000,1,false
1100127,2023-03-20 20:56:42,ffffff,1,false
142207,2021-09-06 09:26:46,ffffff,1,false
142146,2021-08-18 11:25:46,ffffff,1,false
140443,2021-07-19 08:53:13,e9e8ee,1,false
100109,2021-07-05 10:42:07,000000,1,false
1000334,2022-09-06 20:59:11,ffffff,1,false
1705,2022-02-18 10:40:04,f83125,1,false
1000073,2021-07-28 12:02:47,ffffff,1,false
1769,2021-11-18 09:14:22,ffffff,1,false
140056,2021-05-21 11:39:30,000000,1,false
142593,2022-05-07 14:53:36,,1,false
160086,2021-07-19 08:53:15,ffffff,1,false
1500083,2022-07-26 10:11:27,00414e,1,false
907,2022-07-14 09:48:41,676266,1,false
140054,2022-02-22 09:57:23,000000,1,false
140906,2021-06-09 10:05:49,e00000,1,false
190527,2023-03-23 11:23:41,ffffff,1,false
581,2022-02-25 22:18:31,ffffff,1,false
141500,2021-05-21 11:39:30,01180e,1,false
190166,2021-05-21 11:39:59,ffffff,1,false
140429,2023-01-22 21:25:15,fc0000,1,false
142734,2022-09-29 14:37:03,ebeced,1,false
142197,2021-09-14 09:12:42,000000,1,false
143052,2022-12-05 00:29:08,ffffff,1,false
160054,2021-06-11 11:43:46,ae0c07,1,false
190083,2021-10-13 19:36:50,fdd7a4,1,false
1494,2022-07-11 21:19:24,fdd7a4,1,false
1100158,2021-07-19 08:53:11,ff5600,1,false
140700,2021-11-05 14:13:44,fdd7a4,1,false
141097,2021-05-03 11:35:15,c5cedc,1,false
1210,2022-02-25 22:18:32,d3d6e2,1,false
1000312,2021-05-31 08:09:59,ffffff,1,false
1000328,2021-05-21 11:39:59,d30001,1,false
142125,2021-07-27 11:41:40,7a7b87,1,false
